Author,Study_Ref,Study_DOI,Exposure,Outcome,Instrument,Reported_Measure,Coeff_G_X,Coeff_G_X_SE,Coeff_G_Y,Coeff_G_Y_SE
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs2033732,OR,0.02,0.005102041,0.019802627,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs4740619,OR,0.02,0.00255102,0.039220713,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs10968576,OR,0.02,0.00255102,0.009950331,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs6477694,OR,0.02,0.00255102,0,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs1928295,OR,0.02,0.00255102,0.048790164,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs10733682,OR,0.02,0.00255102,-0.010050336,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs7899106,OR,0.04,0.005102041,0.009950331,0.040816327
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs17094222,OR,0.02,0.00255102,0.029558802,0.025510204
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs11191560,OR,0.03,0.005102041,0.009950331,0.025510204
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs7903146,OR,0.02,0.00255102,-0.040821995,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs4256980,OR,0.02,0.00255102,-0.030459207,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs11030104,OR,0.04,0.005102041,0,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs2176598,OR,0.02,0.005102041,0.039220713,0.025510204
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs3817334,OR,0.03,0.00255102,0.029558802,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs12286929,OR,0.02,0.00255102,0.029558802,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs7138803,OR,0.03,0.00255102,-0.010050336,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs11057405,OR,0.03,0.005102041,-0.083381609,0.030612245
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs9581854*,OR,0.03,0.005102041,-0.051293294,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs12429545,OR,0.03,0.005102041,0.029558802,0.030612245
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs9540493,OR,0.02,0.005102041,0.019802627,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs1441264,OR,0.02,0.00255102,0.039220713,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs10132280,OR,0.02,0.00255102,0.009950331,0.025510204
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs12885454,OR,0.02,0.00255102,0.019802627,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs11847697,OR,0.05,0.007653061,0.067658648,0.051020408
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs7141420,OR,0.02,0.00255102,0.009950331,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs3736485,OR,0.02,0.00255102,-0.010050336,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs16951275,OR,0.03,0.005102041,0,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs7164727,OR,0.02,0.00255102,-0.020202707,0.015306122
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs758747,OR,0.02,0.00255102,0.048790164,0.025510204
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs12446632,OR,0.04,0.005102041,-0.030459207,0.030612245
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs2650492,OR,0.02,0.005102041,0.048790164,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs3888190,OR,0.03,0.00255102,0.058268908,0.015306122
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs4787491,OR,0.02,0.005102041,0.029558802,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs9925964,OR,0.02,0.00255102,0.09531018,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs2080454,OR,0.02,0.00255102,-0.010050336,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs1558902,OR,0.08,0.00255102,0.058268908,0.015306122
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs9914578,OR,0.02,0.005102041,0.039220713,0.025510204
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs1000940,OR,0.02,0.00255102,0,0.025510204
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs12940622,OR,0.02,0.00255102,0.029558802,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs1808579,OR,0.02,0.00255102,-0.030459207,0.015306122
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs7239883,OR,0.02,0.00255102,0.009950331,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs7243357,OR,0.02,0.005102041,0,0.025510204
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs6567160,OR,0.06,0.00255102,-0.020202707,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs17724992,OR,0.02,0.005102041,0.048790164,0.025510204
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs29941,OR,0.02,0.00255102,-0.010050336,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs2075650,OR,0.03,0.005102041,-0.010050336,0.025510204
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs2287019,OR,0.04,0.00255102,-0.040821995,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs3810291,OR,0.03,0.005102041,-0.061875404,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs6091540,OR,0.02,0.00255102,0.019802627,0.020408163
Budu-Aggrey et al,[@budu-aggrey_evidence_2019],10.1371/journal.pmed.1002739,BMI,Psoriasis,rs2836754,OR,0.02,0.00255102,0.048790164,0.015306122
