Author,Study_Ref,Study_DOI,Exposure,Outcome,Instrument,Reported_Measure,Coeff_G_X,Coeff_G_X_SE,Coeff_G_Y,Coeff_G_Y_SE
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs10750766,OR,0.019386,0.00218742,0.0364,0.0545
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs10773049,OR,-0.02904,0.00203691,-0.0286,0.0486
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs10775406,OR,0.020657,0.00232578,-0.0497,0.0541
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1077835,OR,0.047367,0.00240452,0.0199,0.0548
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs10792091,OR,0.017481,0.00286221,-0.0933,0.0798
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs10797119,OR,0.015711,0.00200465,0.1391,0.048
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs10811662,OR,-0.01541,0.0026291,-0.0021,0.0682
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs10863828,OR,-0.0129,0.00231241,0.0873,0.0552
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs10883451,OR,0.010828,0.00198508,-0.1049,0.0492
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs10899490,OR,-0.01701,0.00269347,-0.1137,0.0602
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs11023160,OR,0.011988,0.00217303,0.0035,0.0497
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs11030107,OR,0.016042,0.00225693,0.086,0.0551
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs11045171,OR,-0.02502,0.00251023,0.0055,0.0583
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs11057397,OR,-0.0273,0.00210474,0.0164,0.0522
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs11078597,OR,0.019171,0.0025513,-0.0738,0.0612
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs11097128,OR,-0.0208,0.00328714,-0.0561,0.0614
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs11100083,OR,-0.01602,0.00237585,-0.1033,0.0611
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs11118310,OR,0.019318,0.00202011,-0.0286,0.0487
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs11122450,OR,-0.04817,0.0020373,0.0017,0.0483
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs111500536,OR,-0.0419,0.00429302,-0.1065,0.1303
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs111712708,OR,-0.01284,0.00204037,0.0205,0.0534
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs11185542,OR,-0.01264,0.00223848,0.1229,0.0522
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs111914893,OR,0.02761,0.00456604,-0.0174,0.1687
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs11195952,OR,-0.02339,0.00309731,0.0671,0.0911
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs11206374,OR,0.025023,0.00237577,-0.0086,0.0585
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs11216101,OR,-0.0458,0.00626776,-0.0805,0.2406
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs11216122,OR,-0.04254,0.00448663,-0.0785,0.1081
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs112162280,OR,-0.01266,0.00219763,0.0046,0.0519
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs112259268,OR,0.139849,0.00601368,-0.2127,0.137
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs11228377,OR,-0.0154,0.00201809,-0.0273,0.0487
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs11231161,OR,0.016652,0.00205044,-0.0327,0.0561
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs11240358,OR,0.013565,0.00202953,0.0129,0.0496
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs112740904,OR,-0.02549,0.00284086,0.0287,0.092
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs112850234,OR,-0.05512,0.0096038,0.0918,0.3217
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs112923502,OR,0.019364,0.00297319,-0.1365,0.0868
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs112975989,OR,0.01514,0.00247162,0.0308,0.0581
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs113131063,OR,-0.04327,0.00787251,0.4647,0.2851
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1133400,OR,0.013746,0.00239759,0.0338,0.0635
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs113439801,OR,-0.01742,0.00266157,-0.0398,0.0741
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1135062,OR,-0.01752,0.00218572,-0.0123,0.0527
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs114165349,OR,0.081813,0.00663594,0.0474,0.127
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs114473447,OR,0.0572,0.00816838,0.3911,0.5273
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs114796738,OR,0.024774,0.00447549,0.0418,0.1329
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs114940462,OR,-0.06143,0.00486241,0.0238,0.1252
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1149470,OR,-0.01388,0.00232728,-0.0482,0.0588
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs115661421,OR,0.061812,0.0107711,-0.0864,0.1735
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs11598250,OR,0.012926,0.00235002,0.0864,0.0583
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs11620989,OR,0.011358,0.00204732,0.0029,0.0486
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs11629629,OR,0.012413,0.00207567,0.032,0.0517
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs11635675,OR,0.024072,0.00209475,-0.0157,0.049
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs11643980,OR,-0.014,0.00252656,0.0504,0.0591
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs11657201,OR,0.012971,0.00231998,0.1022,0.0636
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs11664106,OR,-0.01258,0.00210816,0.029,0.0515
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs116843064,OR,-0.22651,0.00721009,-0.0356,0.1474
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs11688682,OR,-0.01486,0.0023048,-0.0874,0.0557
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs116919951,OR,0.046891,0.00829993,0.0549,0.1634
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs116995028,OR,0.176768,0.00883569,0.1537,0.2178
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs116998829,OR,-0.02902,0.00500203,-0.1173,0.1743
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs117001569,OR,-0.09448,0.0108681,0.2177,0.1734
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1171617,OR,0.015813,0.00235535,0.0027,0.0653
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs117233107,OR,-0.07323,0.0086122,-0.1193,0.205
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs117291242,OR,0.029785,0.00528225,0.0825,0.1066
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs117350303,OR,-0.07259,0.0105958,-0.0941,0.182
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs117619191,OR,0.08151,0.00691433,0.1244,0.2394
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs117664196,OR,-0.03832,0.00610149,-0.389,0.2239
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs11769620,OR,0.023441,0.00403422,0.0106,0.1021
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs117781948,OR,0.056978,0.00858998,0.1422,0.3036
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1178982,OR,-0.04336,0.00378648,0.0459,0.1084
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs117956669,OR,0.054454,0.00925949,0.0567,0.2014
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs11903847,OR,-0.0134,0.00213246,0.1241,0.0587
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs11980456,OR,0.01239,0.00221234,######,0.0524
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs12140153,OR,-0.02207,0.00348211,-0.0925,0.0892
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs12185242,OR,0.017527,0.00199898,0.0042,0.0478
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs12306007,OR,0.015674,0.00285535,-0.1215,0.0682
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs12369443,OR,-0.0138,0.00250434,-0.0041,0.0547
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs12415159,OR,0.021156,0.00283161,-0.1402,0.0716
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs12422600,OR,-0.01254,0.00207096,-0.0357,0.0486
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs12424054,OR,0.019121,0.00235346,-0.113,0.063
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1242506,OR,-0.01389,0.00234551,-0.0129,0.0521
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs12440800,OR,0.0161,0.00229294,0.0729,0.0586
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs12446515,OR,-0.03342,0.00213589,0.0055,0.0537
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs12449427,OR,-0.01376,0.0022977,0.0198,0.0556
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs12454712,OR,-0.01235,0.00205393,-0.0379,0.0481
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs12470242,OR,0.023174,0.00261852,0.0239,0.053
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs12472667,OR,0.013745,0.00206009,-0.0228,0.0501
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs12479355,OR,-0.01929,0.00245303,0.0476,0.0632
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs12504746,OR,-0.01527,0.00252148,0.0539,0.0674
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs12530679,OR,-0.01213,0.00201682,-0.0042,0.0482
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs12574790,OR,0.184408,0.0103278,0.1872,0.3178
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs12591786,OR,-0.0176,0.00276287,0.0446,0.0802
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs12610373,OR,-0.01134,0.0020632,-0.0842,0.0506
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs12610709,OR,0.022387,0.00264596,-0.0303,0.0671
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs12669911,OR,-0.01185,0.00205405,-0.138,0.0522
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs12791103,OR,-0.07243,0.0033577,0.1545,0.075
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1281978,OR,-0.01137,0.0019901,0.007,0.0478
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs12824533,OR,0.01295,0.00205472,0.0332,0.0494
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs12880341,OR,0.02097,0.00273647,0.0258,0.0703
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs12902047,OR,-0.01293,0.00214533,0.0129,0.0505
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1292065,OR,-0.01392,0.00218669,-0.0251,0.052
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs12926107,OR,0.012636,0.0020014,-0.0594,0.0518
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs12928099,OR,-0.02821,0.00218133,0.0712,0.0532
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs12944954,OR,0.040034,0.00656519,0.1329,0.1609
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs13064956,OR,-0.01964,0.00310139,0.0054,0.0727
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs13066793,OR,-0.02246,0.00347278,-0.0823,0.0879
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs13101828,OR,-0.01183,0.00199956,-0.0013,0.0482
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs13107325,OR,0.030075,0.00377743,0.2291,0.1992
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs13108218,OR,-0.03052,0.00205811,-0.0116,0.0514
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs13251367,OR,-0.01129,0.00205404,-0.045,0.0493
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs13269725,OR,0.034988,0.0036804,0.0557,0.1274
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs13270882,OR,0.030463,0.00487114,0.0637,0.1163
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs13389219,OR,-0.03762,0.00202704,-0.0745,0.0503
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1340819,OR,-0.01217,0.00209472,-0.0205,0.0512
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs134551,OR,-0.01165,0.00211111,-0.0372,0.0535
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1347188,OR,0.013902,0.00231385,-0.0222,0.054
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1351394,OR,0.013433,0.00198815,0.1292,0.048
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs138191773,OR,-0.04717,0.00791884,-0.5669,0.3927
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs138751626,OR,0.028452,0.00374993,0.183,0.121
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs139076463,OR,0.039727,0.00668402,-0.0933,0.1465
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs139098834,OR,-0.04388,0.00662963,0.1087,0.1447
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs139453187,OR,0.023386,0.00391376,-0.1584,0.0945
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs139974673,OR,0.143073,0.00623867,0.2467,0.3297
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs140107293,OR,-0.0227,0.00275296,0.0843,0.0688
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs141415727,OR,0.045607,0.00795592,0.2185,0.289
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs141469619,OR,0.33152,0.0105893,0.1938,0.3967
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs142385484,OR,-0.02322,0.00283842,-0.0295,0.0654
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs142848030,OR,-0.04668,0.00723838,-0.28,0.1625
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs143076454,OR,0.0404,0.00735364,0.0932,0.2062
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs144171645,OR,-0.05121,0.00797381,0.1548,0.2403
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs144246507,OR,-0.04161,0.00757698,-0.437,0.2876
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs144423449,OR,-0.05363,0.00819344,0.1268,0.383
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs144469617,OR,0.05188,0.00786956,-0.28,0.3078
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs144470864,OR,0.031491,0.00440913,0.0486,0.0956
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs145692474,OR,-0.07928,0.0127252,-0.1171,0.3689
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs145775785,OR,-0.05017,0.00853782,0.2261,0.1296
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs148482297,OR,0.059992,0.00631804,0.0421,0.2399
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs149142833,OR,0.016936,0.00276509,0.1027,0.065
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs149214447,OR,0.060878,0.00800404,0.45,0.4857
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1495741,OR,-0.03759,0.00238193,-0.0192,0.0551
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs149719228,OR,0.056502,0.00902236,0.2235,0.2938
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1508103,OR,0.042058,0.00417066,0.0905,0.1215
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs151235402,OR,0.052183,0.00815144,0.1461,0.1882
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1534696,OR,-0.01977,0.00199128,-0.0731,0.0486
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1552781,OR,-0.03327,0.00240258,-0.036,0.0524
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1556124,OR,0.013598,0.00237994,-0.0171,0.0649
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1561928,OR,0.018445,0.00309914,0.0304,0.072
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1567353,OR,0.01482,0.00216358,0.0615,0.0506
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs157935,OR,-0.01428,0.00216916,-0.1351,0.0491
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs17146641,OR,0.016111,0.00286499,0.1157,0.0745
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1728407,OR,0.011681,0.00200359,0.0174,0.0486
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs17326656,OR,0.017439,0.00233365,0.0672,0.0648
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs174566,OR,0.048502,0.00207982,-0.0055,0.0486
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs17585887,OR,-0.02858,0.00201656,-0.0861,0.0479
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1760801,OR,-0.0203,0.00218442,-0.0797,0.0498
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1799831,OR,0.024506,0.00273953,0.0651,0.0608
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1801689,OR,-0.06613,0.00577722,0.4349,0.2426
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1807542,OR,0.0293,0.00465761,0.0437,0.0998
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1823227,OR,-0.01317,0.00225649,-0.029,0.059
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1835346,OR,-0.03919,0.00654659,0.2703,0.1948
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1840339,OR,-0.0117,0.00213807,-0.0364,0.0517
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs184694823,OR,0.021101,0.00373331,0.1218,0.1063
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs186696265,OR,-0.10432,0.00828522,-0.0965,0.19
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1872992,OR,0.014651,0.00231211,0.0221,0.053
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs187544997,OR,0.052723,0.00792251,-0.1129,0.504
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs187929675,OR,-0.17115,0.00874914,-0.0923,0.2251
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs188247550,OR,-0.13429,0.00913128,0.3833,0.1113
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1883711,OR,0.05943,0.00581175,0.1189,0.0985
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs193735,OR,0.032981,0.00529922,0.0054,0.0955
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1938566,OR,-0.02121,0.00267054,0.0392,0.0567
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs1997833,OR,0.014833,0.00217219,0.0896,0.0558
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs2017500,OR,0.011661,0.00200095,-0.0169,0.0482
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs2035816,OR,-0.02796,0.00358218,-0.2124,0.1393
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs2043085,OR,-0.0308,0.00204157,0.0029,0.0485
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs2060250,OR,0.011182,0.00199038,0.0521,0.0482
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs2068888,OR,-0.03182,0.00199589,-0.1106,0.0479
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs2071887,OR,0.016312,0.00209671,0.0388,0.0496
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs2081048,OR,-0.01396,0.00210395,0.0053,0.0509
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs2081687,OR,-0.02614,0.00209126,-0.0501,0.0492
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs2131311,OR,-0.01242,0.00222753,-0.0359,0.0535
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs2131919,OR,0.017351,0.00268396,0.0035,0.0622
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs213209,OR,0.012413,0.00223228,0.0213,0.0536
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs213494,OR,0.015611,0.00207578,0.0845,0.0533
Xie et al,[@xie_associations_2023],10.1002/hep.32728,T2DM,NAFLD,rs2137557,OR,0.011762,0.00208003,######,0.0508
