Author,Study_Ref,Study_DOI,Exposure,Outcome,Instrument,Reported_Measure,Coeff_G_X,Coeff_G_X_SE,Coeff_G_Y,Coeff_G_Y_SE
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.019,Genetically Determined CRP,Schizophrenia,rs4246598,OR,0.022,0.004,-0.434931499,0.484974845
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.020,Genetically Determined CRP,Schizophrenia,rs112635299,OR,-0.096,0.016,-0.438342707,0.386915888
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.021,Genetically Determined CRP,Schizophrenia,rs2710804,OR,0.021,0.004,-0.465658201,0.517354905
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.022,Genetically Determined CRP,Schizophrenia,rs4774590,OR,−0.022,0.004,-0.505078176,0.491677568
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.023,Genetically Determined CRP,Schizophrenia,rs9385532,OR,−0.026,0.004,-0.543932127,0.442097027
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.024,Genetically Determined CRP,Schizophrenia,rs1582763,OR,-0.025,0.004,-0.628891535,0.50662686
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.025,Genetically Determined CRP,Schizophrenia,rs643434,OR,0.023,0.004,-0.68361042,0.480748026
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.026,Genetically Determined CRP,Schizophrenia,rs10778215,OR,0.033,0.004,-0.736943373,0.321881957
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.027,Genetically Determined CRP,Schizophrenia,rs10832027,OR,−0.026,0.004,-0.847989527,0.431699044
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.028,Genetically Determined CRP,Schizophrenia,rs178810,OR,0.02,0.004,-0.854337603,0.539730135
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.029,Genetically Determined CRP,Schizophrenia,rs2315008,OR,−0.023,0.004,-1.082565058,0.485788554
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.030,Genetically Determined CRP,Schizophrenia,rs4841132,OR,0.065,0.006,-1.255085575,0.288808664
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.031,Genetically Determined CRP,Schizophrenia,rs2352975,OR,0.025,0.004,-1.337485255,0.469936137
Ligthart et al,[@ligthart_genome_2018],10.1016/j.ajhg.2018.09.032,Genetically Determined CRP,Schizophrenia,rs2064009,OR,−0.027,0.004,-1.383371567,0.390985209
