"","X","Author","Study_Ref","Study_DOI","Exposure","Outcome","Instrument","Reported_Measure","Coeff_G_X","Coeff_G_X_SE","Coeff_G_Y","Coeff_G_Y_SE"
"25",25,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs2901785","OR",-0.017,0.003,-0.015,0.045
"26",26,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs147052174","OR",0.062,0.01,-0.135,0.176
"27",27,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs35656245","OR",0.016,0.003,-0.005,0.05
"28",28,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs12739243","OR",-0.021,0.003,-0.081,0.055
"29",29,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs12563365","OR",0.017,0.003,0.005,0.045
"30",30,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs876793","OR",-0.018,0.003,-0.006,0.047
"31",31,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs114976176","OR",-0.016,0.003,0.038,0.046
"32",32,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs62106258","OR",-0.045,0.006,0.025,0.102
"33",33,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs6731872","OR",0.032,0.003,-0.017,0.059
"34",34,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1022376","OR",-0.015,0.003,-0.023,0.045
"35",35,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs61533748","OR",0.017,0.003,0.014,0.046
"36",36,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs72790288","OR",-0.046,0.008,-0.036,0.133
"37",37,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs2710634","OR",-0.018,0.003,-0.024,0.045
"38",38,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs62137126","OR",-0.024,0.004,-0.055,0.07
"39",39,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1004787","OR",0.028,0.003,-0.02,0.045
"40",40,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs7598402","OR",-0.015,0.003,-0.079,0.045
"41",41,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs10490159","OR",0.017,0.003,0.063,0.045
"42",42,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1518393","OR",0.017,0.003,0.061,0.047
"43",43,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs17616642","OR",-0.017,0.003,-0.071,0.052
"44",44,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs6730325","OR",-0.015,0.003,0.061,0.046
"45",45,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs2539706","OR",0.016,0.003,0.037,0.045
"46",46,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs7585579","OR",0.02,0.003,0.082,0.045
"47",47,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1863161","OR",0.015,0.003,-0.014,0.045
"48",48,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs359247","OR",0.022,0.003,-0.028,0.046
"49",49,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs62180324","OR",-0.02,0.003,0.042,0.053
"50",50,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs6750107","OR",0.015,0.003,-0.009,0.046
"51",51,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs12714017","OR",0.015,0.003,-0.02,0.045
"52",52,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs56208390","OR",0.022,0.004,-0.044,0.07
"53",53,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs11692435","OR",0.025,0.005,0.045,0.082
"54",54,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs13392222","OR",-0.023,0.004,0.032,0.063
"55",55,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1901477","OR",0.03,0.003,-0.063,0.045
"56",56,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs11889814","OR",-0.021,0.004,0.129,0.063
"57",57,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs3811038","OR",0.019,0.003,0.051,0.05
"58",58,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs75210106","OR",-0.019,0.003,0.01,0.059
"59",59,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs34399632","OR",0.019,0.003,0.095,0.05
"60",60,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs74697736","OR",0.022,0.003,0.024,0.049
"61",61,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs6756212","OR",-0.034,0.003,-0.035,0.045
"62",62,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs3076896","OR",0.023,0.003,-0.339,0.511
"63",63,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs16826827","OR",-0.022,0.004,0.101,0.065
"64",64,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1445649","OR",0.021,0.003,0.082,0.045
"65",65,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1722666","OR",0.016,0.003,-0.011,0.05
"66",66,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs11678980","OR",0.018,0.003,0.032,0.046
"67",67,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs12474587","OR",0.024,0.003,0.077,0.045
"68",68,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs357304","OR",0.017,0.003,-0.03,0.05
"69",69,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs13007361","OR",0.018,0.003,0.041,0.054
"70",70,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs7600835","OR",-0.015,0.003,-0.001,0.048
"71",71,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs6750529","OR",0.02,0.003,0.081,0.052
"72",72,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs17229285","OR",-0.015,0.003,0.009,0.045
"73",73,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs3115418","OR",-0.014,0.003,-0.061,0.045
"74",74,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs62193862","OR",0.024,0.004,-0.111,0.078
"75",75,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs4674916","OR",-0.018,0.003,-0.005,0.048
"76",76,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs4674993","OR",-0.024,0.003,-0.059,0.057
"77",77,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs11713899","OR",0.019,0.003,0.058,0.058
"78",78,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs748832","OR",0.017,0.003,0.037,0.046
"79",79,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs10446419","OR",-0.02,0.003,-0.071,0.056
"80",80,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs13319205","OR",0.017,0.003,0.049,0.049
"81",81,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs3172494","OR",-0.029,0.004,0.107,0.07
"82",82,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs2526390","OR",0.02,0.003,0.009,0.047
"83",83,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs2276825","OR",0.019,0.003,0.004,0.052
"84",84,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs2306866","OR",-0.017,0.003,0.01,0.046
"85",85,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs73831818","OR",0.032,0.005,-0.164,0.099
"86",86,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1910236","OR",0.015,0.003,0.043,0.045
"87",87,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs7640107","OR",-0.014,0.003,-0.05,0.045
"88",88,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs2734390","OR",0.015,0.003,0.047,0.046
"89",89,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs221988","OR",-0.015,0.003,1e-100,0.047
"90",90,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs2196356","OR",-0.019,0.003,-0.052,0.05
"91",91,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs11128203","OR",0.02,0.003,0.01,0.045
"92",92,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs62246017","OR",-0.016,0.003,-0.064,0.049
"93",93,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs4543050","OR",0.022,0.003,0.095,0.06
"94",94,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs6782116","OR",-0.015,0.003,0.082,0.045
"95",95,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs13066050","OR",0.019,0.003,0.079,0.054
"96",96,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs12633090","OR",-0.023,0.003,-0.049,0.059
"97",97,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1549979","OR",-0.025,0.003,-0.04,0.046
"98",98,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs74664784","OR",-0.02,0.003,-1.387,2.408
"99",99,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs57153235","OR",-0.019,0.003,0.015,0.048
"100",100,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs6437769","OR",0.014,0.003,0.084,0.046
"101",101,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs9288999","OR",0.017,0.003,0.022,0.052
"102",102,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs6438436","OR",0.025,0.003,-0.061,0.057
"103",103,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs12053870","OR",0.016,0.003,0.004,0.045
"104",104,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs9826984","OR",-0.014,0.003,-0.085,0.045
"105",105,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs2279829","OR",-0.017,0.003,-0.11,0.056
"106",106,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs2319545","OR",0.023,0.004,0.022,0.061
"107",107,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs10935779","OR",-0.014,0.003,-0.028,0.045
"108",108,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs963354","OR",0.015,0.003,0.045,0.048
"109",109,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1714521","OR",-0.016,0.003,-0.072,0.046
"110",110,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1449012","OR",-0.015,0.003,-0.002,0.045
"111",111,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs9850597","OR",-0.019,0.003,0.117,0.06
"112",112,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1187820","OR",-0.014,0.003,0.087,0.045
"113",113,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs16828799","OR",0.02,0.004,-0.011,0.062
"114",114,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs9841807","OR",0.016,0.003,0.01,0.05
"115",115,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs7631379","OR",0.021,0.003,0.085,0.053
"116",116,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs4140932","OR",-0.014,0.003,-0.029,0.045
"117",117,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs12642744","OR",-0.017,0.003,-0.019,0.05
"118",118,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs59537158","OR",0.022,0.003,0.021,0.053
"119",119,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1389171","OR",-0.017,0.003,0.088,0.051
"120",120,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs55944129","OR",-0.018,0.003,-0.02,0.051
"121",121,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs58400863","OR",-0.02,0.003,0.006,0.047
"122",122,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs7657022","OR",0.018,0.003,0.039,0.045
"123",123,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs55900829","OR",0.019,0.003,-0.105,0.503
"124",124,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs112725451","OR",0.026,0.003,0.005,0.06
"125",125,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1160685","OR",0.015,0.003,-0.007,0.045
"126",126,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1435479","OR",0.016,0.003,-0.013,0.049
"127",127,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs3934797","OR",-0.021,0.003,-0.012,0.057
"128",128,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs71602617","OR",-0.018,0.003,0.024,0.054
"129",129,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs7696257","OR",0.015,0.003,0.052,0.047
"130",130,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs13109980","OR",-0.022,0.003,0.06,0.047
"131",131,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1116690","OR",0.016,0.003,0.021,0.052
"132",132,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs13110073","OR",-0.025,0.003,-0.007,0.046
"133",133,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs28717373","OR",-0.016,0.003,-0.085,0.047
"134",134,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs62340589","OR",0.017,0.003,0.074,0.054
"135",135,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs12517438","OR",0.015,0.003,-0.062,0.045
"136",136,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs35375873","OR",-0.027,0.004,-0.059,0.072
"137",137,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs986714","OR",-0.016,0.003,-0.038,0.045
"138",138,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs71592686","OR",0.021,0.003,-0.033,0.05
"139",139,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs2028269","OR",0.016,0.003,0.02,0.045
"140",140,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs6874731","OR",0.015,0.003,-0.043,0.045
"141",141,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs6452785","OR",-0.027,0.003,0.069,0.045
"142",142,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs10805858","OR",0.018,0.003,0.053,0.047
"143",143,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs181508347","OR",0.081,0.013,-0.113,0.245
"144",144,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs42417","OR",0.017,0.003,0.025,0.049
"145",145,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs72780746","OR",-0.026,0.003,-0.011,0.06
"146",146,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs10060196","OR",0.018,0.003,-0.061,0.045
"147",147,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs72789626","OR",-0.026,0.004,0.11,0.063
"148",148,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs17165769","OR",0.016,0.003,0.027,0.046
"149",149,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs329124","OR",-0.016,0.003,0.037,0.045
"150",150,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1385108","OR",0.019,0.003,-0.031,0.053
"151",151,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1173461","OR",0.017,0.003,-0.012,0.048
"152",152,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs11956866","OR",-0.015,0.003,0.03,0.045
"153",153,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs3909281","OR",0.021,0.003,0.031,0.045
"154",154,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs3843905","OR",-0.015,0.003,0.011,0.046
"155",155,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs79476395","OR",0.033,0.005,-0.241,0.094
"156",156,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs6890961","OR",-0.019,0.003,-0.02,0.046
"157",157,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs4044321","OR",-0.023,0.003,0.076,0.047
"158",158,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs2173019","OR",0.028,0.003,-0.018,0.059
"159",159,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs10042827","OR",0.017,0.003,0.022,0.048
"160",160,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs359431","OR",-0.014,0.003,-0.014,0.045
"161",161,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1059490","OR",-0.019,0.003,-0.031,0.046
"162",162,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs6932350","OR",0.015,0.003,-0.016,0.045
"163",163,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1150668","OR",-0.019,0.003,0.027,0.045
"164",164,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1632941","OR",-0.016,0.003,-0.03,0.045
"165",165,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs3218116","OR",-0.02,0.003,-0.04,0.051
"166",166,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs160631","OR",-0.017,0.003,-0.009,0.051
"167",167,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs7743165","OR",0.019,0.003,0.026,0.045
"168",168,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs79180767","OR",0.02,0.003,0.365,0.675
