"","Author","Study_Ref","Study_DOI","Exposure","Outcome","Instrument","Reported_Measure","Coeff_G_X","Coeff_G_X_SE","Coeff_G_Y","Coeff_G_Y_SE"
"28","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs1516725","OR",0.04,0.00255102,-0.030459207,0.025510204
"29","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs10938397","OR",0.04,0.005102041,-0.020202707,0.015306122
"30","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs17001654","OR",0.03,0.005102041,-0.010050336,0.025510204
"31","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs13107325","OR",0.05,0.007653061,0.039220713,0.035714286
"32","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs11727676","OR",0.04,0.007653061,-0.020202707,0.035714286
"33","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs2112347","OR",0.03,0.00255102,0.039220713,0.020408163
"34","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs7715256","OR",0.02,0.00255102,-0.030459207,0.015306122
"35","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs205262","OR",0.02,0.005102041,-0.010050336,0.020408163
"36","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs2033529","OR",0.02,0.00255102,0.009950331,0.020408163
"37","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs2207139","OR",0.04,0.00255102,-0.020202707,0.025510204
"38","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs9400239","OR",0.02,0.00255102,-0.030459207,0.020408163
"39","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs9374842","OR",0.02,0.00255102,1e-100,0.020408163
"40","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs13201877","OR",0.02,0.005102041,0.009950331,0.025510204
"41","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs13191362","OR",0.03,0.005102041,0.019802627,0.025510204
"42","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs1167827","OR",0.02,0.005102041,1e-100,0.015306122
"43","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs2245368","OR",0.03,0.005102041,1e-100,0.040816327
"44","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs9641123","OR",0.03,0.005102041,0.009950331,0.020408163
"45","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs6465468","OR",0.02,0.00255102,-0.020202707,0.020408163
"46","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs17405819","OR",0.02,0.00255102,0.009950331,0.020408163
"47","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs16907751","OR",0.04,0.007653061,1e-100,0.030612245
"48","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs2033732","OR",0.02,0.005102041,0.019802627,0.020408163
"49","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs4740619","OR",0.02,0.00255102,0.039220713,0.020408163
"50","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs10968576","OR",0.02,0.00255102,0.009950331,0.020408163
"51","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs6477694","OR",0.02,0.00255102,1e-100,0.020408163
"52","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs1928295","OR",0.02,0.00255102,0.048790164,0.020408163
"53","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs10733682","OR",0.02,0.00255102,-0.010050336,0.020408163
"54","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs7899106","OR",0.04,0.005102041,0.009950331,0.040816327
"55","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs17094222","OR",0.02,0.00255102,0.029558802,0.025510204
"56","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs11191560","OR",0.03,0.005102041,0.009950331,0.025510204
"57","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs7903146","OR",0.02,0.00255102,-0.040821995,0.020408163
"58","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs4256980","OR",0.02,0.00255102,-0.030459207,0.020408163
"59","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs11030104","OR",0.04,0.005102041,1e-100,0.020408163
"60","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs2176598","OR",0.02,0.005102041,0.039220713,0.025510204
"61","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs3817334","OR",0.03,0.00255102,0.029558802,0.020408163
"62","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs12286929","OR",0.02,0.00255102,0.029558802,0.020408163
"63","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs7138803","OR",0.03,0.00255102,-0.010050336,0.020408163
"64","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs11057405","OR",0.03,0.005102041,-0.083381609,0.030612245
"65","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs9581854*","OR",0.03,0.005102041,-0.051293294,0.020408163
"66","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs12429545","OR",0.03,0.005102041,0.029558802,0.030612245
"67","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs9540493","OR",0.02,0.005102041,0.019802627,0.020408163
"68","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs1441264","OR",0.02,0.00255102,0.039220713,0.020408163
"69","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs10132280","OR",0.02,0.00255102,0.009950331,0.025510204
"70","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs12885454","OR",0.02,0.00255102,0.019802627,0.020408163
"71","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs11847697","OR",0.05,0.007653061,0.067658648,0.051020408
"72","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs7141420","OR",0.02,0.00255102,0.009950331,0.020408163
"73","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs3736485","OR",0.02,0.00255102,-0.010050336,0.020408163
"74","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs16951275","OR",0.03,0.005102041,1e-100,0.020408163
"75","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs7164727","OR",0.02,0.00255102,-0.020202707,0.015306122
"76","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs758747","OR",0.02,0.00255102,0.048790164,0.025510204
"77","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs12446632","OR",0.04,0.005102041,-0.030459207,0.030612245
"78","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs2650492","OR",0.02,0.005102041,0.048790164,0.020408163
"79","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs3888190","OR",0.03,0.00255102,0.058268908,0.015306122
"80","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs4787491","OR",0.02,0.005102041,0.029558802,0.020408163
"81","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs9925964","OR",0.02,0.00255102,0.09531018,0.020408163
"82","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs2080454","OR",0.02,0.00255102,-0.010050336,0.020408163
"83","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs1558902","OR",0.08,0.00255102,0.058268908,0.015306122
"84","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs9914578","OR",0.02,0.005102041,0.039220713,0.025510204
"85","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs1000940","OR",0.02,0.00255102,1e-100,0.025510204
"86","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs12940622","OR",0.02,0.00255102,0.029558802,0.020408163
"87","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs1808579","OR",0.02,0.00255102,-0.030459207,0.015306122
"88","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs7239883","OR",0.02,0.00255102,0.009950331,0.020408163
"89","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs7243357","OR",0.02,0.005102041,1e-100,0.025510204
"90","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs6567160","OR",0.06,0.00255102,-0.020202707,0.020408163
"91","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs17724992","OR",0.02,0.005102041,0.048790164,0.025510204
"92","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs29941","OR",0.02,0.00255102,-0.010050336,0.020408163
"93","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs2075650","OR",0.03,0.005102041,-0.010050336,0.025510204
"94","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs2287019","OR",0.04,0.00255102,-0.040821995,0.020408163
"95","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs3810291","OR",0.03,0.005102041,-0.061875404,0.020408163
"96","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs6091540","OR",0.02,0.00255102,0.019802627,0.020408163
"97","Budu-Aggrey et al","@budu-aggrey_evidence_2019","10.1371/journal.pmed.1002739","BMI","Psoriasis","rs2836754","OR",0.02,0.00255102,0.048790164,0.015306122
"98","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs425277","OR",0.03,1e-100,-0.04,0.03
"99","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs9434723","OR",0.03,1e-100,0.01,0.03
"100","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs10779751","OR",0.02,1e-100,0.04,0.03
"101","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs12137162","OR",0.02,1e-100,1e-100,0.03
"102","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs212524","OR",0.02,1e-100,-0.03,0.02
"103","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2806561","OR",0.03,1e-100,1e-100,0.02
"104","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs4601530","OR",0.03,1e-100,1e-100,0.03
"105","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs926438","OR",0.02,1e-100,1e-100,0.02
"106","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs17163588","OR",0.03,1e-100,-0.02,0.03
"107","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2219320","OR",0.02,1e-100,-0.05,0.03
"108","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs16834765","OR",0.05,0.01,0.05,0.05
"109","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs7544462","OR",0.03,0.01,0.03,0.05
"110","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs209918","OR",0.02,1e-100,-0.03,0.03
"111","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs6600365","OR",0.03,1e-100,0.01,0.02
"112","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs12855","OR",0.04,0.01,0.03,0.04
"113","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs17387330","OR",0.02,1e-100,-0.01,0.03
"114","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs6691924","OR",0.03,0.01,0.03,0.04
"115","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2815379","OR",0.02,1e-100,-0.02,0.03
"116","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs17391694","OR",0.04,0.01,0.04,0.04
"117","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs567401","OR",0.03,1e-100,0.02,0.04
"118","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2046158","OR",0.02,1e-100,0.03,0.03
"119","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2811594","OR",0.02,1e-100,0.05,0.02
"120","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs17113369","OR",0.07,0.01,0.07,0.06
"121","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs7517682","OR",0.02,1e-100,0.01,0.02
"122","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs12120956","OR",0.02,1e-100,-0.04,0.03
"123","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs1321666","OR",0.02,1e-100,0.01,0.02
"124","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs9428104","OR",0.04,1e-100,1e-100,0.03
"125","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs1409156","OR",0.02,1e-100,-0.05,0.03
"126","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs6658763","OR",0.03,0.01,0.01,0.04
"127","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs3767627","OR",0.03,1e-100,0.01,0.03
"128","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs956796","OR",0.03,0.01,-0.02,0.04
"129","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2298265","OR",0.03,1e-100,1e-100,0.04
"130","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs6688100","OR",0.02,1e-100,-0.05,0.02
"131","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs4656220","OR",0.02,1e-100,0.03,0.02
"132","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs6694089","OR",0.03,1e-100,-0.03,0.03
"133","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2421992","OR",0.03,1e-100,-0.03,0.03
"134","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs17369123","OR",0.03,1e-100,0.01,0.03
"135","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs1325596","OR",0.03,1e-100,0.06,0.02
"136","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs4652773","OR",0.02,1e-100,0.03,0.02
"137","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs3814333","OR",0.05,1e-100,-0.01,0.03
"138","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs10863936","OR",0.02,1e-100,-0.02,0.02
"139","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs6540834","OR",0.03,1e-100,-0.02,0.02
"140","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs1244981","OR",0.03,1e-100,-0.04,0.03
"141","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs10495098","OR",0.02,1e-100,-0.03,0.02
"142","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs991967","OR",0.04,1e-100,0.03,0.03
"143","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs12411277","OR",0.02,1e-100,0.01,0.02
"144","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs4428898","OR",0.02,1e-100,-0.01,0.02
"145","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs1544196","OR",0.02,1e-100,0.01,0.03
"146","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs6696239","OR",0.04,1e-100,-0.01,0.03
"147","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs11799609","OR",0.03,1e-100,0.01,0.03
"148","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs17038954","OR",0.04,0.01,0.02,0.05
"149","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs10048625","OR",0.02,1e-100,-0.01,0.03
"150","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs3885668","OR",0.02,1e-100,0.02,0.02
"151","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2345835","OR",0.02,1e-100,0.01,0.02
"152","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs7561273","OR",0.02,1e-100,0.02,0.02
"153","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2278483","OR",0.03,1e-100,-0.01,0.03
"154","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2289195","OR",0.04,1e-100,0.02,0.02
"155","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs10460566","OR",0.02,1e-100,-0.02,0.03
"156","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs780094","OR",0.02,1e-100,0.01,0.02
"157","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs6714546","OR",0.04,1e-100,0.05,0.03
"158","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs6751657","OR",0.02,1e-100,-0.02,0.02
"159","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs711245","OR",0.02,1e-100,0.04,0.03
"160","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs6544089","OR",0.02,1e-100,-0.01,0.02
"161","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs13416119","OR",0.03,0.01,-0.03,0.04
