Author,Study_Ref,Study_DOI,Exposure,Outcome,Instrument,Reported_Measure,Coeff_G_X,Coeff_G_X_SE,Coeff_G_Y,Coeff_G_Y_SE
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs10733682,OR,0.017,0.003019354,0,0.01777549
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs11688816,OR,0.017,0.003024367,0.019802627,0.017428379
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs11057405,OR,0.031,0.005523737,0.048790164,0.029186314
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs2121279,OR,0.025,0.004473942,0.019802627,0.030046693
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs29941,OR,0.018,0.003225509,0,0.01777549
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs3849570,OR,0.019,0.003413229,0,0.017954285
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs6477694,OR,0.017,0.003057558,0.019802627,0.017600222
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs2176598,OR,0.020,0.003609083,0.029558802,0.01982372
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs7899106,OR,0.040,0.007218167,0.058268908,0.040807309
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs17724992,OR,0.019,0.003442268,0.019802627,0.020018269
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs7243357,OR,0.022,0.004003309,-0.010050336,0.023090308
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs1808579,OR,0.017,0.003100854,0,0.020419058
Mokry et al,[@mokry_obesity_2016],10.1371/journal.pmed.1002053,BMI,Multiple Sclerosis,rs2033732,OR,0.019,0.003483023,0,0.020419058
